CBSA,CBSANAME,Number_of_Tracts,exposure,MV_est54,MV_est51912,MV_est712,MV_est722,MV_est447,W1110_meancommute_E,W1110_carpooled_P,W1110_pubtrans_P,total_tract_pop,black_pop,med_list_sqft2012_2016,med_list_price2012_2016,school_quality,WI_weighted
11460,"Ann Arbor, MI",24,"B20_50",83.4732,.589859,.980002,75.6424,14.1201,23.902334,11.930201,3.9231935,3749.9912,1112.909,110.1123,173035,.3592451,9.6334383
11460,"Ann Arbor, MI",3,"Major",46.2976,.607228,1,62.2956,15,25.883126,13.69483,7.8195309,2833.7853,1894.465,97.3271,166345.8,.2219832,11.240313
11500,"Anniston-Oxford-Jacksonville, AL",2,"Less1",70.877,0,0,34.9394,14.974,21.2,14.5,0,2301.0139,0,31.16707,,.3303353,5.7522549
11500,"Anniston-Oxford-Jacksonville, AL",5,"B1_5",12.9126,0,0,12.4653,6.69694,29.883862,11.134995,.28470121,5121.782,146.9611,69.10822,138798.4,.5427309,3.1317156
11500,"Anniston-Oxford-Jacksonville, AL",4,"B5_10",6.19089,0,0,15.7078,5.9475,24.434166,7.8126405,.17181361,5953.6162,412.8528,59.35524,131663.5,.5061461,5.1359332
11500,"Anniston-Oxford-Jacksonville, AL",4,"B10_20",18.8164,0,0,48.1708,12.8285,23.762213,10.747296,.03814361,5062.7463,804.6105,65.86086,130905.1,.4426744,6.6138202
11500,"Anniston-Oxford-Jacksonville, AL",9,"B20_50",24.5327,0,0,25.6822,9.16458,22.445519,8.2810762,.09649728,4996.8839,1322.864,57.55091,123703.6,.3398512,7.13524
11500,"Anniston-Oxford-Jacksonville, AL",5,"Major",62.1684,0,0,29.0257,12.1427,21.832001,14.02229,1.3167413,2462.1194,1657.036,38.65574,133030,.2295167,8.5729019
11700,"Asheville, NC",38,"Less1",35.9129,0,.663999,23.3328,6.46567,24.427778,10.245838,.21500019,4644.992,11.51351,143.0451,282245.5,.5534543,5.5474053
11700,"Asheville, NC",34,"B1_5",53.2017,0,.977804,41.5148,8.27211,21.093547,8.8264922,.13739392,5317.6598,134.2016,143.6962,279381.1,.5467008,7.1431302
11700,"Asheville, NC",15,"B5_10",68.3728,0,.958904,55.9644,11.0005,19.102572,6.6163953,.78961342,5208.5421,319.6964,147.2692,289658.5,.5434739,8.8782597
11700,"Asheville, NC",10,"B10_20",130.199,0,1.37854,102.23,16.5105,17.025908,10.26447,1.7940994,4386.76,617.7078,156.5652,267962.5,.5200094,11.861189
11700,"Asheville, NC",5,"B20_50",178.056,0,3.02694,122.951,10.799,16.516604,10.018749,2.2488134,3704.67,955.8741,175.046,325594.9,.540803,14.444165
11700,"Asheville, NC",1,"Major",300,0,5,159,9,17.5,3.8,6.4,3167,1814.691,218.9719,415770.5,.6042753,15.301301
12020,"Athens-Clarke County, GA",1,"Less1",5.96667,0,0,7.0338,4.06806,28.9,12.1,0,4710,0,,,.6065809,3.2069737
12020,"Athens-Clarke County, GA",7,"B1_5",50.6012,0,0,44.3168,7.85383,22.895471,7.8536494,1.1885484,4891.3252,206.6323,111.1406,266865.3,.5477784,6.6020371
12020,"Athens-Clarke County, GA",10,"B5_10",60.1236,0,.330132,44.8136,12.7486,21.446988,8.0011915,5.6176658,6780.3908,509.0364,98.07855,191115.3,.4862442,6.4420039
12020,"Athens-Clarke County, GA",10,"B10_20",52.5015,0,.246423,47.7434,8.57026,23.675721,9.7826937,2.6331114,4469.3333,671.8439,93.32072,162091.7,.4703846,6.6127765
12020,"Athens-Clarke County, GA",13,"B20_50",69.2148,0,.427843,59.3105,13.4904,21.934659,12.00209,1.4521889,4996.6708,1392.959,88.9904,159897.1,.3653319,6.641862
12020,"Athens-Clarke County, GA",5,"Major",80.3214,0,.841779,103.834,12.2975,19.127576,12.407435,4.0374929,4632.5346,2761.199,85.79568,149927.3,.281012,6.6047832
12060,"Atlanta-Sandy Springs-Roswell, GA",32,"Less1",158.008,.110005,.727873,55.5737,10.1626,32.041931,10.567853,.43817185,4736.3562,22.00558,115.7468,289398,.5630746,5.726157
12060,"Atlanta-Sandy Springs-Roswell, GA",94,"B1_5",244.791,.005396,.800694,78.1457,10.6189,30.571704,7.1600976,1.01279,6082.8405,170.1152,127.8238,334506.1,.6154892,7.2664337
